source,model,parameter,Conventions,load_function,plot_color,plot_linestyle,plot_marker,paths
CCMI-1,NIES_CCSRNIES-MIROC3.2-senC2fODS2000,tco3_zm,CF-1.4,ccmi,brown,dotted,s,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/NIES/CCSRNIES-MIROC3.2/senC2fODS2000/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,NIES_CCSRNIES-MIROC3.2-senC2rcp26,tco3_zm,CF-1.4,ccmi,brown,dotted,s,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/NIES/CCSRNIES-MIROC3.2/senC2rcp26/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,NIES_CCSRNIES-MIROC3.2-senC2rcp45,tco3_zm,CF-1.4,ccmi,brown,dotted,s,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/NIES/CCSRNIES-MIROC3.2/senC2rcp45/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,NIES_CCSRNIES-MIROC3.2-senC2rcp85,tco3_zm,CF-1.4,ccmi,brown,dotted,s,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/NIES/CCSRNIES-MIROC3.2/senC2rcp85/mon/atmos/monthly/r1i1p1/v1/toz/*200001-210012.nc
CCMI-1,NIES_CCSRNIES-MIROC3.2-senC2SlrTrnd,tco3_zm,CF-1.4,ccmi,brown,dotted,s,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/NIES/CCSRNIES-MIROC3.2/senC2SlrTrnd/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,NIWA_NIWA-UKCA-refC2,tco3_zm,CF-1.4,ccmi,purple,dashed,p,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/NIWA/NIWA-UKCA/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,NIWA_NIWA-UKCA-senC2fCH4,tco3_zm,CF-1.4,ccmi,purple,dashed,p,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/NIWA/NIWA-UKCA/senC2fCH4/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,NIWA_NIWA-UKCA-senC2fGHG,tco3_zm,CF-1.4,ccmi,purple,dashed,p,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/NIWA/NIWA-UKCA/senC2fGHG/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,NIWA_NIWA-UKCA-senC2fN2O,tco3_zm,CF-1.4,ccmi,purple,dashed,p,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/NIWA/NIWA-UKCA/senC2fN2O/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,NIWA_NIWA-UKCA-senC2fODS,tco3_zm,CF-1.4,ccmi,purple,dashed,p,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/NIWA/NIWA-UKCA/senC2fODS/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-CAMBRIDGE_UMUKCA-UCAM-refC2,tco3_zm,CF-1.5,ccmi,purple,dashdot,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-CAMBRIDGE/UMUKCA-UCAM/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LAQUILA_CCM-refC2,tco3_zm,CF-1.4,ccmi,sienna,dashed,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LAQUILA/ULAQ-CCM/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LAQUILA_CCM-senC2fCH4,tco3_zm,CF-1.4,ccmi,sienna,dashed,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LAQUILA/ULAQ-CCM/senC2fCH4/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LAQUILA_CCM-senC2fEmis,tco3_zm,CF-1.4,ccmi,sienna,dashed,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LAQUILA/ULAQ-CCM/senC2fEmis/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LAQUILA_CCM-senC2fGHG,tco3_zm,CF-1.4,ccmi,sienna,dashed,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LAQUILA/ULAQ-CCM/senC2fGHG/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LAQUILA_CCM-senC2fN2O,tco3_zm,CF-1.4,ccmi,sienna,dashed,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LAQUILA/ULAQ-CCM/senC2fN2O/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LAQUILA_CCM-senC2fODS,tco3_zm,CF-1.4,ccmi,sienna,dashed,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LAQUILA/ULAQ-CCM/senC2fODS/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LAQUILA_CCM-senC2GeoMIPG4,tco3_zm,CF-1.4,ccmi,sienna,dashed,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LAQUILA/ULAQ-CCM/senC2GeoMIPG4/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LAQUILA_CCM-senC2rcp26,tco3_zm,CF-1.4,ccmi,sienna,dashed,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LAQUILA/ULAQ-CCM/senC2rcp26/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
